referencia_pago_parametro_extra_id;tipo;valor;nombre
1001;java.lang.String;9,95861E+14;BARCODE_PM_PAGOFACIL
1001;java.lang.String;9,95861E+14;BARCODE_PM_RAPIPAGO
1001;java.lang.String;9,95861E+14;BARCODE_PM_BAPRO
1001;java.lang.String;9,95861E+14;BARCODE_PM_COBRO_EXPRESS
1001;java.lang.String;9,95861E+14;BARCODE_PM_RIPSA
1002;java.lang.String;9,95861E+14;BARCODE_PM_PAGOFACIL
1002;java.lang.String;9,95861E+14;BARCODE_PM_RAPIPAGO
1002;java.lang.String;9,95861E+14;BARCODE_PM_BAPRO
1002;java.lang.String;9,95861E+14;BARCODE_PM_COBRO_EXPRESS
1002;java.lang.String;9,95861E+14;BARCODE_PM_RIPSA
1003;java.lang.String;9,95861E+14;BARCODE_PM_PAGOFACIL
1003;java.lang.String;9,95861E+14;BARCODE_PM_RAPIPAGO
1003;java.lang.String;9,95861E+14;BARCODE_PM_BAPRO
1003;java.lang.String;9,95861E+14;BARCODE_PM_COBRO_EXPRESS
1003;java.lang.String;9,95861E+14;BARCODE_PM_RIPSA
1004;java.lang.String;9,95861E+14;BARCODE_PM_PAGOFACIL
1004;java.lang.String;9,95861E+14;BARCODE_PM_RAPIPAGO
1004;java.lang.String;9,95861E+14;BARCODE_PM_BAPRO
1004;java.lang.String;9,95861E+14;BARCODE_PM_COBRO_EXPRESS
1004;java.lang.String;9,95861E+14;BARCODE_PM_RIPSA
1005;java.lang.String;9,95861E+14;BARCODE_PM_PAGOFACIL
1005;java.lang.String;9,95861E+14;BARCODE_PM_RAPIPAGO
1005;java.lang.String;9,95861E+14;BARCODE_PM_BAPRO
1005;java.lang.String;9,95861E+14;BARCODE_PM_COBRO_EXPRESS
1005;java.lang.String;9,95861E+14;BARCODE_PM_RIPSA
1006;java.lang.String;9,95861E+14;BARCODE_PM_PAGOFACIL
1006;java.lang.String;9,95861E+14;BARCODE_PM_RAPIPAGO
1006;java.lang.String;9,95861E+14;BARCODE_PM_BAPRO
1006;java.lang.String;9,95861E+14;BARCODE_PM_COBRO_EXPRESS
1006;java.lang.String;9,95861E+14;BARCODE_PM_RIPSA
1007;java.lang.String;9,95861E+14;BARCODE_PM_PAGOFACIL
1007;java.lang.String;9,95861E+14;BARCODE_PM_RAPIPAGO
1007;java.lang.String;9,95861E+14;BARCODE_PM_BAPRO
